Time_s,Pressure_mbar,Flow_ul_min
650.93,325.69,0.00
651.93,403.47,0.00
652.93,399.86,0.00
653.93,399.86,0.00
654.94,399.86,0.00
655.94,400.04,0.00
656.94,399.92,0.00
657.94,399.92,0.00
658.94,399.92,0.00
659.94,399.86,0.00
660.95,399.92,0.00
661.95,399.86,0.00
662.95,399.80,0.00
663.96,399.86,0.00
664.96,399.80,0.00
665.96,400.04,0.00
666.96,399.92,0.00
667.96,399.86,0.00
668.96,399.92,0.00
669.96,399.92,0.00
670.96,399.86,0.00
671.96,399.86,0.00
672.96,399.80,0.00
673.97,399.86,0.00
674.97,399.80,0.00
675.97,399.98,0.00
677.97,399.92,0.00
678.97,399.86,0.00
679.97,399.86,0.00
680.97,399.80,0.00
681.97,399.92,0.00
682.97,399.92,0.00
683.98,399.92,0.00
684.98,399.86,0.00
685.98,399.98,0.00
686.98,399.86,0.00
687.98,399.86,0.00
689.03,399.92,0.00
690.04,399.92,0.00
691.04,399.92,0.00
692.04,399.86,0.00
693.05,399.98,0.00
694.05,399.98,0.00
695.05,399.92,0.00
696.05,399.98,0.00
697.05,399.86,0.00
698.05,399.86,0.00
699.05,399.80,0.00
700.05,399.80,0.00
701.05,399.92,0.00
702.05,399.80,0.00
703.06,399.92,0.00
704.06,399.80,0.00
705.06,399.92,0.00
706.06,399.86,0.00
707.06,399.80,0.00
708.06,399.92,0.00
709.06,399.80,0.00
710.07,399.86,0.00
711.07,399.86,0.00
712.07,376.47,0.00
714.07,225.12,0.00
715.07,123.63,0.00
716.07,70.61,0.00
717.07,69.44,0.00
718.07,314.05,0.00
719.07,253.95,0.00
720.07,153.70,0.00
721.08,92.80,0.00
722.08,12.31,0.00
723.08,-0.19,0.00
724.08,-0.12,0.00
725.10,-0.19,0.00
726.10,-0.25,0.00
727.10,-0.06,0.00
728.10,-0.25,0.00
729.10,-0.19,0.00
730.10,-0.19,0.00
731.10,-0.25,0.00
732.11,-0.12,0.00
733.11,-0.12,0.00
734.11,-0.12,0.00
735.11,-0.19,0.00
736.12,-0.19,0.00
737.12,-0.19,0.00
738.12,-0.12,0.00
739.12,-0.19,0.00
740.12,-0.19,0.00
741.12,-0.19,0.00
742.12,-0.12,0.00
743.12,-0.19,0.00
744.12,-0.19,0.00
745.12,-0.12,0.00
