Time_s,Pressure_mbar,Flow_ul_min
547.77,299.77,0.00
548.77,299.83,0.00
549.77,299.83,0.00
550.77,299.77,0.00
551.77,299.83,0.00
552.78,299.89,0.00
554.78,299.83,0.00
555.78,299.83,0.00
556.78,299.77,0.00
557.78,299.83,0.00
558.78,299.77,0.00
559.79,299.77,0.00
560.79,299.89,0.00
561.79,299.83,0.00
562.79,299.83,0.00
563.79,299.89,0.00
564.80,299.83,0.00
565.80,299.83,0.00
566.80,299.83,0.00
567.80,299.83,0.00
568.80,282.68,0.00
569.80,222.24,0.00
570.80,161.96,0.00
571.80,101.75,0.00
572.80,41.67,0.00
573.80,271.90,0.00
574.81,227.02,0.00
575.81,166.62,0.00
576.81,106.04,0.00
577.81,45.35,0.00
578.81,-0.49,0.00
579.81,-0.37,0.00
580.81,-0.19,0.00
581.81,-0.19,0.00
582.81,-0.25,0.00
583.82,-0.31,0.00
584.82,-0.31,0.00
585.82,-0.31,0.00
586.82,-0.25,0.00
587.82,-0.31,0.00
588.82,-0.31,0.00
589.82,-0.25,0.00
590.82,-0.31,0.00
591.82,-0.37,0.00
592.82,-0.25,0.00
593.82,-0.25,0.00
594.82,-0.25,0.00
595.83,-0.25,0.00
596.83,-0.19,0.00
597.83,-0.19,0.00
599.83,-0.31,0.00
600.83,-0.31,0.00
601.83,-0.25,0.00
602.83,-0.31,0.00
603.83,-0.25,0.00
604.84,-0.12,0.00
605.84,121.92,0.00
606.84,243.67,0.00
607.84,359.44,0.00
608.84,483.04,0.00
609.84,606.44,0.00
610.84,600.00,0.00
611.84,600.07,0.00
612.84,595.10,0.00
613.84,484.51,0.00
614.84,326.42,0.00
615.85,240.18,0.00
616.85,84.10,0.00
617.85,183.63,0.00
618.85,469.45,0.00
619.85,347.25,0.00
620.85,226.77,0.00
621.85,104.21,0.00
622.85,-5.70,0.00
623.85,-0.25,0.00
624.85,-0.25,0.00
625.86,-0.31,0.00
626.86,-0.31,0.00
627.86,-0.25,0.00
628.86,46.33,0.00
629.86,105.86,0.00
630.86,150.52,0.00
631.86,225.42,0.00
632.86,285.99,0.00
633.86,299.83,0.00
634.86,299.83,0.00
635.86,299.89,0.00
636.87,299.96,0.00
637.87,299.89,0.00
638.87,299.89,0.00
639.87,299.83,0.00
640.87,299.83,0.00
641.87,299.77,0.00
642.87,299.89,0.00
643.88,299.89,0.00
644.88,299.83,0.00
645.88,299.83,0.00
646.88,299.83,0.00
648.88,299.96,0.00
649.88,299.89,0.00
650.88,299.83,0.00
651.88,299.96,0.00
652.88,299.83,0.00
653.89,299.89,0.00
654.89,299.89,0.00
655.89,299.89,0.00
656.89,299.83,0.00
657.89,299.83,0.00
658.89,299.83,0.00
659.89,299.83,0.00
660.89,299.83,0.00
661.89,299.83,0.00
662.89,299.83,0.00
663.89,299.83,0.00
664.89,299.83,0.00
665.90,299.89,0.00
666.90,299.83,0.00
667.90,299.77,0.00
668.90,299.89,0.00
669.90,299.96,0.00
670.90,299.83,0.00
671.90,299.89,0.00
672.90,299.83,0.00
673.90,299.96,0.00
674.91,299.83,0.00
675.91,299.83,0.00
676.91,299.83,0.00
677.91,299.83,0.00
678.91,299.83,0.00
679.91,299.83,0.00
680.91,299.83,0.00
681.91,299.89,0.00
682.91,299.77,0.00
683.92,299.83,0.00
684.92,299.83,0.00
685.92,299.83,0.00
686.92,299.96,0.00
687.92,299.83,0.00
688.92,299.89,0.00
689.92,299.77,0.00
690.92,299.89,0.00
691.92,299.83,0.00
692.92,299.83,0.00
693.92,256.59,0.00
694.93,196.42,0.00
695.93,136.31,0.00
696.93,76.25,0.00
697.93,16.05,0.00
698.93,253.16,0.00
699.93,187.24,0.00
700.93,131.84,0.00
701.93,66.81,0.00
702.94,7.47,0.00
703.94,-0.31,0.00
704.94,-0.25,0.00
706.95,-0.25,0.00
707.95,-0.25,0.00
708.95,-0.31,0.00
709.95,63.13,0.00
710.95,175.67,0.00
712.95,406.71,0.00
713.95,517.81,0.00
714.95,600.31,0.00
715.95,600.07,0.00
716.95,600.00,0.00
717.95,504.83,0.00
718.96,384.00,0.00
719.96,264.61,0.00
720.96,147.33,0.00
721.96,25.86,0.00
722.96,549.97,0.00
723.96,430.46,0.00
724.96,308.90,0.00
725.96,187.85,0.00
726.96,67.54,0.00
727.96,-0.43,0.00
728.96,-0.19,0.00
729.97,-0.31,0.00
730.98,-0.19,0.00
731.98,-0.12,0.00
732.98,-0.19,0.00
733.98,60.19,0.00
734.98,120.32,0.00
735.98,181.37,0.00
736.99,241.52,0.00
737.99,299.89,0.00
738.99,299.83,0.00
739.99,299.96,0.00
740.99,299.83,0.00
741.99,299.96,0.00
742.99,299.83,0.00
743.99,299.96,0.00
745.00,299.83,0.00
747.00,299.83,0.00
748.00,299.77,0.00
749.00,299.83,0.00
750.00,299.77,0.00
751.00,299.96,0.00
752.00,299.83,0.00
753.00,299.96,0.00
754.00,299.96,0.00
755.00,299.89,0.00
757.01,299.83,0.00
759.01,299.89,0.00
760.01,299.89,0.00
761.01,299.96,0.00
762.01,299.89,0.00
763.01,299.83,0.00
764.01,299.83,0.00
765.02,299.89,0.00
766.02,299.83,0.00
767.02,299.83,0.00
768.02,299.89,0.00
769.02,299.83,0.00
770.02,299.83,0.00
771.02,299.89,0.00
772.02,299.89,0.00
773.02,299.83,0.00
774.02,299.83,0.00
775.02,299.96,0.00
776.03,299.89,0.00
777.03,299.96,0.00
778.03,299.89,0.00
779.03,299.89,0.00
780.03,299.89,0.00
781.03,299.83,0.00
782.03,299.89,0.00
785.04,299.77,0.00
786.04,299.89,0.00
787.04,299.89,0.00
789.04,299.89,0.00
790.04,299.89,0.00
791.04,299.89,0.00
792.04,299.89,0.00
